Month,Advertising,Price,Discount,Customers,Sales
2021-01-01,197.26,19.43,2.98,300,770.74
2021-01-02,207.45,19.95,8.0,302,773.52
2021-01-03,209.39,20.19,5.96,328,854.72
2021-01-04,210.18,20.53,9.3,326,857.19
2021-01-05,208.74,19.8,6.04,313,814.92
2021-01-06,203.04,19.98,6.58,309,740.98
2021-01-07,213.73,20.31,5.71,306,794.96
2021-01-08,213.52,20.2,3.33,301,773.81
2021-01-09,210.51,20.42,5.93,307,818.12
2021-01-10,210.91,20.67,1.67,296,780.3
2021-01-11,206.5,20.01,3.68,287,751.65
2021-01-12,209.2,20.66,4.91,277,687.2
2021-01-13,205.74,19.86,2.78,279,702.77
2021-01-14,200.64,21.14,3.9,283,723.17
2021-01-15,208.24,20.46,5.33,289,715.99
2021-01-16,201.23,20.48,4.15,301,765.52
2021-01-17,196.16,21.23,6.14,274,738.43
2021-01-18,201.29,19.48,6.6,288,730.06
2021-01-19,188.76,20.17,6.87,266,663.98
2021-01-20,203.57,20.2,5.63,280,668.03
2021-01-21,191.46,21.27,7.2,300,780.79
2021-01-22,188.93,21.05,6.07,302,752.64
2021-01-23,190.8,20.21,3.18,303,788.59
2021-01-24,194.35,20.55,4.67,303,771.54
2021-01-25,192.49,19.64,2.34,291,748.37
2021-01-26,191.72,20.58,5.19,301,762.24
2021-01-27,195.89,20.64,4.65,328,863.16
2021-01-28,202.79,21.18,4.32,318,787.21
2021-01-29,192.3,20.86,2.36,314,778.23
2021-01-30,201.3,22.12,6.43,321,792.27
2021-01-31,192.98,21.05,4.77,338,881.24
2021-02-01,209.06,21.08,5.61,330,838.9
2021-02-02,195.66,20.83,7.42,321,832.83
2021-02-03,205.54,21.09,7.75,313,825.5
2021-02-04,205.91,22.08,7.14,313,734.37
2021-02-05,207.11,20.9,5.65,319,802.51
2021-02-06,214.29,21.54,5.2,306,725.27
2021-02-07,211.28,21.44,3.99,283,726.32
2021-02-08,203.45,21.89,2.62,285,695.2
2021-02-09,206.72,20.98,1.96,302,750.56
2021-02-10,204.28,21.2,2.19,284,719.11
2021-02-11,207.54,21.2,3.52,285,745.66
2021-02-12,201.52,20.44,5.22,298,768.2
2021-02-13,204.48,21.43,6.6,282,729.61
2021-02-14,205.76,21.55,6.85,276,732.04
2021-02-15,202.22,21.97,6.45,261,655.65
2021-02-16,195.89,20.93,7.25,265,680.09
2021-02-17,195.84,21.04,6.17,277,718.27
2021-02-18,198.87,21.13,3.67,275,691.65
2021-02-19,199.77,21.42,4.34,286,689.78
2021-02-20,183.74,22.2,3.2,280,704.35
2021-02-21,184.68,21.74,5.23,289,739.69
2021-02-22,181.09,21.32,2.67,295,712.58
2021-02-23,192.45,21.72,2.95,293,715.24
2021-02-24,195.96,21.64,2.25,306,734.83
2021-02-25,189.18,21.66,4.85,300,772.47
2021-02-26,194.64,21.38,4.29,315,779.69
