Month,Advertising,Price,Discount,Customers,Sales
1,6738,38,1,499,42651
2,3506,42,8,497,35857
3,7043,58,34,164,29083
4,4956,36,1,167,20595
5,3405,51,1,407,28543
6,7365,55,34,334,38744
7,5179,53,17,534,41676
8,7716,60,10,477,42875
9,4287,43,9,230,24304
10,4257,38,5,314,27373
11,4440,46,16,533,40731
12,7477,49,34,183,31729
13,2145,52,18,544,37126
14,6566,46,12,480,41827
15,1875,56,14,515,33042
16,2153,42,6,314,22815
17,5214,55,23,203,25133
18,4410,41,17,479,39786
19,6808,37,10,393,39645
20,3505,40,29,314,30153
21,6742,57,35,232,32654
22,4156,59,3,237,19903
23,4084,47,17,153,19451
24,6146,57,20,228,28363
25,5589,47,29,193,27232
26,2643,42,35,395,33537
27,7619,53,27,579,52501
28,4771,46,14,190,23189
29,5542,37,3,560,43516
30,2752,55,10,525,35722
31,4958,54,4,317,27563
32,6381,49,33,248,33071
33,1594,56,7,469,29140
34,7651,43,21,177,29988
35,5061,40,29,121,23887
36,7395,43,32,510,49484
37,5658,38,19,550,47065
38,5658,54,12,198,23982
39,7746,40,34,518,52137
40,1504,54,20,370,25017
41,2416,46,19,242,20843
42,3473,53,5,163,16843
43,5481,37,34,512,46355
44,2551,56,30,401,30885
45,3671,51,27,228,24660
46,7687,58,12,485,43624
47,4768,56,23,344,32088
48,5198,38,15,235,26831
49,4269,35,35,237,29931
50,3304,35,4,482,35790
51,1982,42,4,583,36369
52,4206,37,32,241,28598
53,6980,50,13,396,37946
54,7425,53,30,244,33963
55,4834,41,6,169,21638
56,5031,46,27,330,33714
57,7472,36,6,151,26527
58,7465,45,6,247,30280
59,3058,52,28,191,21096
60,3003,43,29,247,24605
61,5130,60,35,170,24039
62,6842,52,0,167,23740
63,3436,40,26,368,32864
64,3251,47,3,204,18248
65,1517,47,16,594,38378
66,3836,48,35,458,39840
67,5486,39,12,271,29099
68,1979,53,34,151,18149
69,4069,36,3,419,33392
70,5619,51,10,149,21476
71,2156,40,4,424,28322
72,7031,42,25,181,30249
73,3516,53,2,437,30137
74,4934,56,33,281,30263
75,3173,56,20,242,21913
76,4742,39,19,354,33489
77,7659,37,0,354,37351
78,6112,38,4,395,35967
79,5644,43,8,597,46445
80,2063,42,23,265,22736
81,5089,52,19,433,37729
82,5833,35,35,273,35505
83,2348,39,16,179,17629
84,7581,52,9,259,31080
85,6454,41,21,224,30985
86,6695,43,32,370,40393
87,1916,37,27,544,39321
88,1861,35,21,514,36411
89,6719,43,10,499,43970
90,6019,57,27,407,37865
91,2416,37,9,399,28713
92,4524,53,35,195,25697
93,2544,36,19,306,25807
94,4431,41,15,461,37293
95,4397,59,35,572,45385
96,6584,58,9,593,46443
97,2831,60,11,571,37457
98,1703,40,21,520,36369
99,6987,58,15,256,29717
100,7950,57,6,315,33334
101,5355,42,12,538,43633
102,4364,44,14,234,23958
103,6906,41,25,288,35383
104,2068,59,17,299,22487
105,5673,47,34,289,33111
106,2444,43,11,417,29874
107,1813,38,27,296,26260
108,7942,45,27,430,45829
109,2447,47,12,250,19943
110,7306,48,0,386,36845
111,7126,58,12,306,32790
112,2073,56,21,439,30607
113,6934,38,19,379,39792
114,6963,48,20,326,36715
115,3922,52,8,218,20879
116,6947,47,11,435,40913
117,3965,47,35,546,43613
